Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Alzheimer's Disease	C0002395	GAL	51083	P22466	galanin and GMAP prepropeptide		137	0.529	0.759	4.7907e-06	0.05	no reported evidence	1.0	5	0	1994.0	2008.0
Alzheimer's Disease	C0002395	DCTN4	51164	Q9UJW0	dynactin subunit 4		89	0.565	0.655	0.69224	0.05	no reported evidence	0.8	5	0	2007.0	2017.0
Alzheimer's Disease	C0002395	GSAP	54103	A4D1B5	gamma-secretase activating protein		3	0.928	0.103	1.8436e-22	0.05	no reported evidence	1.0	5	1	2010.0	2016.0
Alzheimer's Disease	C0002395	TMEM106B	54664	Q9NUM4	transmembrane protein 106B		73	0.624	0.379	0.3203	0.05	no reported evidence	1.0	5	1	2014.0	2017.0
Alzheimer's Disease	C0002395	SEMA6A	57556	Q9H2E6	semaphorin 6A	signaling molecule	219	0.468	0.793	0.99993	0.05	no reported evidence	1.0	5	0	2008.0	2016.0
Alzheimer's Disease	C0002395	PINK1	65018	Q9BXM7	PTEN induced putative kinase 1	kinase; receptor; transferase	96	0.577	0.586	1.034e-10	0.05	no reported evidence	1.0	5	0	2006.0	2015.0
Alzheimer's Disease	C0002395	RTN4R	65078	Q9BZR6	reticulon 4 receptor		29	0.696	0.31	0.95915	0.05	no reported evidence	1.0	5	0	2006.0	2008.0
Alzheimer's Disease	C0002395	CDCA5	113130	Q96FF9	cell division cycle associated 5		33	0.667	0.621	0.0013142	0.05	no reported evidence	1.0	5	0	2004.0	2017.0
Alzheimer's Disease	C0002395	SLCO6A1	133482	Q86UG4	solute carrier organic anion transporter family member 6A1	enzyme modulator	275	0.44	0.828	5.5479e-10	0.05	no reported evidence	0.8	5	0	2004.0	2016.0
Alzheimer's Disease	C0002395	C4B_2	100293534	P0C0L4;P0C0L5	complement component 4B (Chido blood group), copy 2	defense/immunity protein; enzyme modulator; signaling molecule	21	0.696	0.586		0.05	no reported evidence	0.6	5	0	1984.0	1994.0
Alzheimer's Disease	C0002395	BACE1-AS	100379571		BACE1 antisense RNA		5	0.857	0.138		0.05	no reported evidence	1.0	5	1	2005.0	2018.0
Alzheimer's Disease	C0002395	UPK3B	105375355	Q9BT76	uroplakin 3B		25	0.696	0.517	0.0002533	0.05	no reported evidence	1.0	5	0	2004.0	2017.0
Alzheimer's Disease	C0002395	ADORA2A	135	P29274	adenosine A2a receptor	receptor	163	0.537	0.69	0.59913	0.04	no reported evidence	1.0	4	0	2014.0	2018.0
Alzheimer's Disease	C0002395	APOB	338	P04114	apolipoprotein B		232	0.477	0.724	1.6447e-16	0.04	no reported evidence	1.0	4	0	1998.0	2013.0
Alzheimer's Disease	C0002395	AQP4	361	P55087	aquaporin 4	transporter	132	0.525	0.793	0.002775	0.04	no reported evidence	1.0	4	0	2007.0	2018.0
Alzheimer's Disease	C0002395	AR	367	P10275	androgen receptor	nucleic acid binding; receptor; transcription factor	564	0.38	0.793	0.98299	0.04	no reported evidence	1.0	4	0	2002.0	2015.0
Alzheimer's Disease	C0002395	ATF4	468	P18848	activating transcription factor 4		90	0.57	0.621	0.014883	0.04	no reported evidence	1.0	4	0	2009.0	2016.0
Alzheimer's Disease	C0002395	TSPO	706	B1AH88;P30536	translocator protein	receptor; transporter	132	0.525	0.655	0.00023479	0.04	no reported evidence	1.0	4	1	2013.0	2016.0
Alzheimer's Disease	C0002395	C3	718	P01024	complement C3	defense/immunity protein; enzyme modulator; signaling molecule	187	0.484	0.828	0.93842	0.04	no reported evidence	1.0	4	0	2008.0	2016.0
Alzheimer's Disease	C0002395	CD59	966	P13987	CD59 molecule (CD59 blood group)		172	0.496	0.724	0.62244	0.04	no reported evidence	0.75	4	0	1991.0	2006.0
Alzheimer's Disease	C0002395	CD68	968	P34810	CD68 molecule	membrane traffic protein	192	0.48	0.793	1.2196e-06	0.04	no reported evidence	1.0	4	0	1997.0	2017.0
Alzheimer's Disease	C0002395	CRYAB	1410	P02511	crystallin alpha B		138	0.546	0.621	0.023288	0.04	no reported evidence	1.0	4	0	2003.0	2011.0
Alzheimer's Disease	C0002395	DNM2	1785	P50570	dynamin 2	cytoskeletal protein; enzyme modulator; hydrolase	155	0.54	0.655	0.99997	0.04	no reported evidence	1.0	4	0	2004.0	2014.0
Alzheimer's Disease	C0002395	EGR1	1958	P18146	early growth response 1	nucleic acid binding; transcription factor	254	0.459	0.793	0.3269	0.04	no reported evidence	1.0	4	0	1997.0	2016.0
Alzheimer's Disease	C0002395	EIF4E	1977	P06730	eukaryotic translation initiation factor 4E	nucleic acid binding	175	0.489	0.724	0.9475	0.04	no reported evidence	1.0	4	0	2011.0	2015.0
Alzheimer's Disease	C0002395	MARK2	2011	Q7KZI7	microtubule affinity regulating kinase 2		95	0.554	0.655	0.99997	0.04	no reported evidence	1.0	4	0	2007.0	2013.0
Alzheimer's Disease	C0002395	ETS2	2114	P15036	ETS proto-oncogene 2, transcription factor	nucleic acid binding; signaling molecule; transcription factor	90	0.557	0.69	0.99909	0.04	no reported evidence	0.75	4	0	1987.0	2006.0
Alzheimer's Disease	C0002395	FGF1	2246	P05230	fibroblast growth factor 1	signaling molecule	88	0.572	0.69	0.46152	0.04	no reported evidence	1.0	4	1	2004.0	2014.0
Alzheimer's Disease	C0002395	GABPA	2551	Q06546	GA binding protein transcription factor subunit alpha	nucleic acid binding; signaling molecule; transcription factor	262	0.454	0.828	0.99791	0.04	no reported evidence	0.75	4	0	2009.0	2015.0
Alzheimer's Disease	C0002395	GCG	2641	P01275	glucagon		152	0.529	0.655	0.025209	0.04	no reported evidence	1.0	4	0	1999.0	2014.0
Alzheimer's Disease	C0002395	GDNF	2668	P39905	glial cell derived neurotrophic factor	signaling molecule	264	0.463	0.759	0.19663	0.04	no reported evidence	1.0	4	0	2012.0	2016.0
Alzheimer's Disease	C0002395	GH1	2688	P01241	growth hormone 1	signaling molecule	316	0.438	0.793	0.031578	0.04	no reported evidence	1.0	4	0	2000.0	2011.0
Alzheimer's Disease	C0002395	GRIA1	2890	P42261	glutamate ionotropic receptor AMPA type subunit 1		63	0.636	0.414	0.99621	0.04	no reported evidence	1.0	4	0	1994.0	2012.0
Alzheimer's Disease	C0002395	GRIA2	2891	P42262	glutamate ionotropic receptor AMPA type subunit 2		52	0.639	0.414	0.99906	0.04	no reported evidence	1.0	4	0	2004.0	2014.0
Alzheimer's Disease	C0002395	GRM2	2912	Q14416	glutamate metabotropic receptor 2	receptor	47	0.645	0.414	0.1063	0.04	no reported evidence	1.0	4	0	2007.0	2013.0
Alzheimer's Disease	C0002395	HCRT	3060	O43612	hypocretin neuropeptide precursor		100	0.579	0.724	0.029684	0.04	no reported evidence	1.0	4	0	2006.0	2016.0
Alzheimer's Disease	C0002395	NRG1	3084	Q02297	neuregulin 1	signaling molecule	173	0.506	0.759	0.99553	0.04	no reported evidence	1.0	4	0	2003.0	2016.0
Alzheimer's Disease	C0002395	HMGA1	3159	P17096	high mobility group AT-hook 1	nucleic acid binding	124	0.532	0.552	0.83203	0.04	no reported evidence	1.0	4	0	2004.0	2016.0
Alzheimer's Disease	C0002395	HRES1	3272	P13985	HTLV-1 related endogenous sequence		20	0.72	0.586		0.04	no reported evidence	1.0	4	0	2005.0	2017.0
Alzheimer's Disease	C0002395	HSD11B1	3290	P28845	hydroxysteroid 11-beta dehydrogenase 1		82	0.577	0.655	0.40743	0.04	no reported evidence	1.0	4	0	2004.0	2016.0
Alzheimer's Disease	C0002395	HSPA1A	3303	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1A		141	0.516	0.793	0.029335	0.04	no reported evidence	0.75	4	0	1993.0	2016.0
Alzheimer's Disease	C0002395	HSPA1B	3304	P0DMV8;P0DMV9	heat shock protein family A (Hsp70) member 1B		143	0.514	0.793	0.0050913	0.04	no reported evidence	0.75	4	0	1993.0	2016.0
Alzheimer's Disease	C0002395	HSPA5	3309	P11021	heat shock protein family A (Hsp70) member 5		190	0.482	0.793	0.77858	0.04	no reported evidence	1.0	4	2	2000.0	2013.0
Alzheimer's Disease	C0002395	HSP90AA1	3320	P07900	heat shock protein 90 alpha family class A member 1	chaperone	261	0.453	0.828	0.8608	0.04	no reported evidence	1.0	4	0	2007.0	2016.0
Alzheimer's Disease	C0002395	HSPG2	3339	P98160	heparan sulfate proteoglycan 2	enzyme modulator; extracellular matrix protein; receptor	265	0.494	0.793	7.0092e-18	0.04	no reported evidence	0.6666667	4	1	1995.0	2007.0
Alzheimer's Disease	C0002395	IL4	3565	P05112	interleukin 4		615	0.364	0.931	0.0052963	0.04	no reported evidence	1.0	4	0	2004.0	2016.0
Alzheimer's Disease	C0002395	CXCL8	3576	P10145	C-X-C motif chemokine ligand 8	signaling molecule	758	0.342	0.862		0.04	no reported evidence	1.0	4	0	2007.0	2015.0
Alzheimer's Disease	C0002395	IL13	3596	P35225	interleukin 13		358	0.421	0.828	0.013298	0.04	no reported evidence	1.0	4	0	2007.0	2012.0
Alzheimer's Disease	C0002395	KLC1	3831	Q07866	kinesin light chain 1		13	0.785	0.241	0.65323	0.04	no reported evidence	1.0	4	1	2005.0	2015.0
Alzheimer's Disease	C0002395	LRP2	4036	P98164	LDL receptor related protein 2		153	0.552	0.69	1.0	0.04	no reported evidence	1.0	4	1	2002.0	2014.0
Alzheimer's Disease	C0002395	MGAT3	4248	Q09327	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	transferase	16	0.735	0.379	0.1493	0.04	no reported evidence	1.0	4	0	2007.0	2015.0
Alzheimer's Disease	C0002395	NTRK1	4914	P04629	neurotrophic receptor tyrosine kinase 1		306	0.443	0.759	6.7624e-06	0.04	no reported evidence	1.0	4	1	1997.0	2010.0
Alzheimer's Disease	C0002395	NTSR1	4923	P30989	neurotensin receptor 1	receptor	84	0.598	0.517	2.1169e-08	0.04	no reported evidence	0.75	4	0	2006.0	2011.0
Alzheimer's Disease	C0002395	OGG1	4968	O15527	8-oxoguanine DNA glycosylase		218	0.476	0.759	2.1379e-12	0.04	no reported evidence	1.0	4	3	2002.0	2013.0
Alzheimer's Disease	C0002395	PON2	5445	Q15165	paraoxonase 2		80	0.596	0.621	6.0565e-05	0.04	no reported evidence	0.75	4	1	2002.0	2012.0
Alzheimer's Disease	C0002395	PPARA	5465	Q07869	peroxisome proliferator activated receptor alpha	nucleic acid binding; receptor; transcription factor	247	0.465	0.793	0.037307	0.04	no reported evidence	1.0	4	1	2004.0	2016.0
Alzheimer's Disease	C0002395	PTGDS	5730	P41222	prostaglandin D2 synthase	isomerase	117	0.536	0.724	0.0049276	0.04	no reported evidence	1.0	4	0	2006.0	2008.0
Alzheimer's Disease	C0002395	PTPRC	5788	P08575	protein tyrosine phosphatase, receptor type C	hydrolase; phosphatase; receptor	196	0.488	0.759	1.0	0.04	no reported evidence	0.75	4	0	1997.0	2011.0
Alzheimer's Disease	C0002395	RAC1	5879	P63000	Rac family small GTPase 1	enzyme modulator	226	0.47	0.931	0.70654	0.04	no reported evidence	1.0	4	0	2009.0	2013.0
Alzheimer's Disease	C0002395	OPN1LW	5956	P04000	opsin 1, long wave sensitive	receptor	101	0.559	0.655	0.95988	0.04	no reported evidence	1.0	4	0	2011.0	2015.0
Alzheimer's Disease	C0002395	REN	5972	P00797	renin	hydrolase; protease	373	0.423	0.759	2.1242e-07	0.04	no reported evidence	0.75	4	0	2000.0	2017.0
Alzheimer's Disease	C0002395	S100A9	6280	P06702	S100 calcium binding protein A9	calcium-binding protein; signaling molecule	189	0.488	0.793	0.46546	0.04	no reported evidence	1.0	4	0	2006.0	2013.0
Alzheimer's Disease	C0002395	SNCB	6620	Q16143	synuclein beta	chaperone; membrane traffic protein	22	0.707	0.241	0.058668	0.04	no reported evidence	1.0	4	0	2001.0	2016.0
Alzheimer's Disease	C0002395	SP1	6667	P08047	Sp1 transcription factor	nucleic acid binding; transcription factor	159	0.508	0.724	0.99998	0.04	no reported evidence	1.0	4	0	2004.0	2015.0
Alzheimer's Disease	C0002395	TBP	6908	P20226	TATA-box binding protein	nucleic acid binding; transcription factor	125	0.564	0.793	0.068906	0.04	no reported evidence	1.0	4	0	2004.0	2010.0
Alzheimer's Disease	C0002395	PRDX2	7001	P32119	peroxiredoxin 2	oxidoreductase	116	0.535	0.759	0.086441	0.04	no reported evidence	1.0	4	0	2001.0	2007.0
Alzheimer's Disease	C0002395	TGM2	7052	P21980	transglutaminase 2	transferase	171	0.499	0.69	6.9566e-18	0.04	no reported evidence	1.0	4	0	1998.0	2001.0
Alzheimer's Disease	C0002395	TNFRSF1B	7133	P20333	TNF receptor superfamily member 1B		230	0.467	0.828	0.82467	0.04	no reported evidence	1.0	4	0	2007.0	2015.0
Alzheimer's Disease	C0002395	VCAM1	7412	P19320	vascular cell adhesion molecule 1		232	0.466	0.793	0.74466	0.04	no reported evidence	1.0	4	0	2007.0	2016.0
Alzheimer's Disease	C0002395	VIM	7431	P08670	vimentin		322	0.432	0.793	0.78494	0.04	no reported evidence	1.0	4	0	2009.0	2016.0
Alzheimer's Disease	C0002395	PLA2G6	8398	O60733	phospholipase A2 group VI	enzyme modulator	260	0.494	0.724	2.7949e-10	0.04	no reported evidence	1.0	4	0	2008.0	2010.0
Alzheimer's Disease	C0002395	PDE5A	8654	O76074	phosphodiesterase 5A		68	0.611	0.517	0.00011726	0.04	no reported evidence	1.0	4	0	2013.0	2016.0
Alzheimer's Disease	C0002395	BECN1	8678	Q14457	beclin 1	enzyme modulator	164	0.497	0.759	0.91207	0.04	no reported evidence	1.0	4	0	2010.0	2017.0
Alzheimer's Disease	C0002395	XPR1	9213	Q9UBH6	xenotropic and polytropic retrovirus receptor 1	receptor	109	0.551	0.69	0.99998	0.04	no reported evidence	1.0	4	0	2005.0	2015.0
Alzheimer's Disease	C0002395	ABCG2	9429	Q9UNQ0	ATP binding cassette subfamily G member 2 (Junior blood group)	transporter	265	0.449	0.793	1.2599e-32	0.04	no reported evidence	1.0	4	0	2008.0	2016.0
Alzheimer's Disease	C0002395	GSTO1	9446	P78417	glutathione S-transferase omega 1		55	0.627	0.552	3.4857e-09	0.04	no reported evidence	0.75	4	1	2004.0	2011.0
Alzheimer's Disease	C0002395	ABCG1	9619	P45844	ATP binding cassette subfamily G member 1	transporter	66	0.598	0.552	0.12924	0.04	no reported evidence	1.0	4	0	2007.0	2014.0
Alzheimer's Disease	C0002395	TUBA1B	10376	P68363	tubulin alpha 1b	cytoskeletal protein	37	0.642	0.586	0.96818	0.04	no reported evidence	1.0	4	0	1989.0	2013.0
Alzheimer's Disease	C0002395	KAT5	10524	Q92993	lysine acetyltransferase 5	nucleic acid binding; transcription factor; transferase	83	0.573	0.621	0.31958	0.04	no reported evidence	0.75	4	0	2009.0	2013.0
Alzheimer's Disease	C0002395	OGA	10724	O60502	O-GlcNAcase		74	0.584	0.517		0.04	no reported evidence	1.0	4	0	2012.0	2015.0
Alzheimer's Disease	C0002395	SIRT2	22933	Q8IXJ6	sirtuin 2	hydrolase; nucleic acid binding	64	0.594	0.586	1.8038e-08	0.04	no reported evidence	1.0	4	1	2013.0	2015.0
Alzheimer's Disease	C0002395	TIPARP	25976	Q7Z3E1	TCDD inducible poly(ADP-ribose) polymerase		86	0.565	0.655	0.99991	0.04	no reported evidence	1.0	4	0	2007.0	2016.0
Alzheimer's Disease	C0002395	SGSM3	27352	Q96HU1	small G protein signaling modulator 3	enzyme modulator; hydrolase; protease	171	0.486	0.793	2.9726e-15	0.04	no reported evidence	1.0	4	0	2009.0	2018.0
Alzheimer's Disease	C0002395	TLR9	54106	Q9NR96	toll like receptor 9		263	0.453	0.862	1.186e-05	0.04	no reported evidence	1.0	4	0	2006.0	2016.0
Alzheimer's Disease	C0002395	TMED9	54732	Q9BVK6	transmembrane p24 trafficking protein 9	membrane traffic protein; transfer/carrier protein	7	0.857	0.207	0.0057419	0.04	no reported evidence	1.0	4	0	2005.0	2017.0
Alzheimer's Disease	C0002395	VPS35	55737	Q96QK1	VPS35, retromer complex component	membrane traffic protein	21	0.713	0.379	0.9722	0.04	no reported evidence	1.0	4	0	2006.0	2013.0
Alzheimer's Disease	C0002395	PAG1	55824	Q9NWQ8	phosphoprotein membrane anchor with glycosphingolipid microdomains 1		84	0.564	0.655	0.019736	0.04	no reported evidence	1.0	4	0	2011.0	2015.0
Alzheimer's Disease	C0002395	PSENEN	55851	Q9NZ42	presenilin enhancer, gamma-secretase subunit		14	0.752	0.241	0.82971	0.04	no reported evidence	0.75	4	0	2005.0	2012.0
Alzheimer's Disease	C0002395	PCBP4	57060	P57723	poly(rC) binding protein 4	enzyme modulator; hydrolase; nucleic acid binding; protease	70	0.586	0.655	0.001797	0.04	no reported evidence	1.0	4	0	2011.0	2015.0
Alzheimer's Disease	C0002395	MMEL1	79258	Q495T6	membrane metalloendopeptidase like 1	hydrolase; protease	44	0.672	0.517	5.3867e-20	0.04	no reported evidence	1.0	4	0	2009.0	2015.0
Alzheimer's Disease	C0002395	TREML2	79865	Q5T2D2	triggering receptor expressed on myeloid cells like 2		7	0.886	0.103	1.2947e-08	0.04	no reported evidence	1.0	4	1	2014.0	2018.0
Alzheimer's Disease	C0002395	APH1B	83464	Q8WW43	aph-1 homolog B, gamma-secretase subunit	enzyme modulator	5	0.857	0.103	2.8631e-10	0.04	no reported evidence	1.0	4	1	2008.0	2011.0
Alzheimer's Disease	C0002395	DCTN5	84516	Q9BTE1	dynactin subunit 5		8	0.834	0.207	0.0067044	0.04	no reported evidence	1.0	4	0	2005.0	2017.0
Alzheimer's Disease	C0002395	TTBK1	84630	Q5TCY1	tau tubulin kinase 1	kinase; transferase	8	0.815	0.207	0.9999	0.04	no reported evidence	1.0	4	3	2006.0	2014.0
Alzheimer's Disease	C0002395	ATCAY	85300	Q86WG3	ATCAY, caytaxin		28	0.773	0.241	0.66285	0.04	no reported evidence	1.0	4	0	2002.0	2010.0
Alzheimer's Disease	C0002395	LRRTM3	347731	Q86VH5	leucine rich repeat transmembrane neuronal 3	extracellular matrix protein; receptor	5	0.834	0.103	0.97979	0.04	no reported evidence	1.0	4	0	2007.0	2014.0
Alzheimer's Disease	C0002395	GSTK1	373156	Q9Y2Q3	glutathione S-transferase kappa 1		269	0.441	0.828	1.7633e-06	0.04	no reported evidence	0.75	4	1	2004.0	2016.0
Alzheimer's Disease	C0002395	POTEF	728378	A5A3E0	POTE ankyrin domain family member F		154	0.5	0.828	1.7085e-05	0.04	no reported evidence	0.75	4	0	1997.0	2011.0
Alzheimer's Disease	C0002395	PGR-AS1	101054525		PGR antisense RNA 1		86	0.57	0.586		0.04	no reported evidence	1.0	4	0	2009.0	2015.0
Alzheimer's Disease	C0002395	GRK2	156	P25098	G protein-coupled receptor kinase 2	kinase; transferase	92	0.58	0.517		0.03	no reported evidence	0.666666666666667	3	0	2006.0	2012.0
Alzheimer's Disease	C0002395	AGTR2	186	P50052	angiotensin II receptor type 2	receptor	110	0.554	0.621	0.0081935	0.03	no reported evidence	1.0	3	0	2009.0	2009.0
Alzheimer's Disease	C0002395	AIF1	199	P55008	allograft inflammatory factor 1	calcium-binding protein	63	0.598	0.655	2.3356e-06	0.03	no reported evidence	1.0	3	0	2006.0	2015.0
Alzheimer's Disease	C0002395	ALOX15	246	P16050	arachidonate 15-lipoxygenase	oxidoreductase	115	0.543	0.69	3.9512e-24	0.03	no reported evidence	1.0	3	0	2004.0	2012.0
Alzheimer's Disease	C0002395	ANK1	286	P16157	ankyrin 1		100	0.586	0.828	1.0	0.03	no reported evidence	1.0	3	0	2014.0	2017.0
Alzheimer's Disease	C0002395	APCS	325	P02743	amyloid P component, serum		88	0.565	0.655	0.030048	0.03	no reported evidence	0.666666666666667	3	0	1997.0	2016.0
Alzheimer's Disease	C0002395	APOA4	337	P06727	apolipoprotein A4		66	0.596	0.517	4.8944e-06	0.03	no reported evidence	1.0	3	0	2005.0	2016.0
Alzheimer's Disease	C0002395	APRT	353	P07741	adenine phosphoribosyltransferase		255	0.453	0.724	2.5437e-11	0.03	no reported evidence	1.0	3	0	2011.0	2014.0
Alzheimer's Disease	C0002395	AQP1	358	P29972	aquaporin 1 (Colton blood group)	transporter	141	0.518	0.759	2.0111e-07	0.03	no reported evidence	1.0	3	0	2007.0	2018.0
Alzheimer's Disease	C0002395	ARNTL	406	O00327	aryl hydrocarbon receptor nuclear translocator like	transcription factor	94	0.569	0.621	0.98967	0.03	no reported evidence	0.666666666666667	3	0	2011.0	2017.0
Alzheimer's Disease	C0002395	ARR3	407	P36575	arrestin 3	enzyme modulator	66	0.602	0.586	0.11193	0.03	no reported evidence	1.0	3	0	2001.0	2008.0
Alzheimer's Disease	C0002395	STS	412	P08842	steroid sulfatase	hydrolase	195	0.487	0.828	0.76889	0.03	no reported evidence	1.0	3	0	2014.0	2018.0
Alzheimer's Disease	C0002395	ATM	472	Q13315	ATM serine/threonine kinase	kinase; nucleic acid binding; transferase	486	0.401	0.862	5.9771e-46	0.03	no reported evidence	1.0	3	0	2012.0	2016.0
Alzheimer's Disease	C0002395	BRCA1	672	P38398	BRCA1, DNA repair associated	ligase	411	0.41	0.862	1.795e-28	0.03	no reported evidence	1.0	3	0	2007.0	2018.0
Alzheimer's Disease	C0002395	BSG	682	P35613	basigin (Ok blood group)	transmembrane receptor regulatory/adaptor protein	167	0.5	0.759	0.00013473	0.03	no reported evidence	1.0	3	0	2007.0	2016.0
Alzheimer's Disease	C0002395	C2	717	P06681	complement C2		41	0.645	0.552	5.0278e-17	0.03	no reported evidence	1.0	3	1	1994.0	1998.0
Alzheimer's Disease	C0002395	C5AR1	728	P21730	complement C5a receptor 1	receptor	76	0.59	0.655	0.38963	0.03	no reported evidence	1.0	3	0	2003.0	2011.0
Alzheimer's Disease	C0002395	CAMK2A	815	Q9UQM7	calcium/calmodulin dependent protein kinase II alpha		37	0.672	0.31	0.998	0.03	no reported evidence	1.0	3	2	2005.0	2016.0
Alzheimer's Disease	C0002395	CASP1	834	P29466	caspase 1	enzyme modulator; hydrolase; protease	213	0.468	0.828	0.00018521	0.03	no reported evidence	1.0	3	0	1998.0	2013.0
Alzheimer's Disease	C0002395	CBS	875	P0DN79;P35520	cystathionine-beta-synthase	hydrolase; isomerase; lyase	197	0.503	0.793	2.8287e-05	0.03	no reported evidence	1.0	3	0	2005.0	2010.0
Alzheimer's Disease	C0002395	CDK4	1019	P11802	cyclin dependent kinase 4	kinase; transferase	266	0.449	0.724	0.077882	0.03	no reported evidence	1.0	3	0	1999.0	2013.0
Alzheimer's Disease	C0002395	CEBPD	1052	P49716	CCAAT enhancer binding protein delta	nucleic acid binding; transcription factor	63	0.6	0.69	0.60863	0.03	no reported evidence	1.0	3	0	2004.0	2015.0
Alzheimer's Disease	C0002395	CHI3L1	1116	P36222	chitinase 3 like 1		167	0.502	0.793	8.5062e-06	0.03	no reported evidence	1.0	3	0	2015.0	2018.0
Alzheimer's Disease	C0002395	CHRM2	1129	P08172	cholinergic receptor muscarinic 2	receptor	73	0.596	0.586	0.54325	0.03	no reported evidence	1.0	3	0	2001.0	2008.0
Alzheimer's Disease	C0002395	CNTF	1270	P26441	ciliary neurotrophic factor		66	0.621	0.414	2.2265e-05	0.03	no reported evidence	1.0	3	0	2010.0	2016.0
Alzheimer's Disease	C0002395	CPOX	1371	P36551	coproporphyrinogen oxidase	oxidoreductase	127	0.554	0.724	0.17695	0.03	no reported evidence	0.666666666666667	3	0	2006.0	2013.0
Alzheimer's Disease	C0002395	CRHR1	1394	P34998	corticotropin releasing hormone receptor 1		118	0.545	0.69	3.0245e-05	0.03	no reported evidence	1.0	3	0	2008.0	2016.0
Alzheimer's Disease	C0002395	CUX1	1523	P39880;Q13948	cut like homeobox 1	nucleic acid binding; transcription factor	138	0.52	0.655	1.0	0.03	no reported evidence	1.0	3	0	1993.0	2015.0
Alzheimer's Disease	C0002395	CX3CR1	1524	P49238	C-X3-C motif chemokine receptor 1		185	0.496	0.828	0.056757	0.03	no reported evidence	1.0	3	0	2011.0	2016.0
Alzheimer's Disease	C0002395	CXADR	1525	P78310	CXADR, Ig-like cell adhesion molecule		95	0.57	0.655	0.38969	0.03	no reported evidence	1.0	3	0	2001.0	2008.0
Alzheimer's Disease	C0002395	CYP2B6	1555	P20813	cytochrome P450 family 2 subfamily B member 6		306	0.437	0.828	3.4958e-10	0.03	no reported evidence	1.0	3	0	2002.0	2012.0
Alzheimer's Disease	C0002395	CYP3A4	1576	P08684	cytochrome P450 family 3 subfamily A member 4	oxidoreductase	178	0.492	0.793	5.3676e-11	0.03	no reported evidence	1.0	3	0	2006.0	2014.0
Alzheimer's Disease	C0002395	DAB1	1600	O75553	DAB1, reelin adaptor protein	signaling molecule	52	0.672	0.483	0.99986	0.03	no reported evidence	1.0	3	0	2011.0	2014.0
Alzheimer's Disease	C0002395	DBH	1621	P09172	dopamine beta-hydroxylase		105	0.557	0.621	3.9275e-10	0.03	no reported evidence	0.333333333333333	3	2	2011.0	2014.0
Alzheimer's Disease	C0002395	DCX	1641	O43602	doublecortin		96	0.569	0.517	0.34306	0.03	no reported evidence	1.0	3	0	2013.0	2016.0
Alzheimer's Disease	C0002395	DNM1	1759	Q05193	dynamin 1	cytoskeletal protein; enzyme modulator; hydrolase	64	0.667	0.345	0.9988	0.03	no reported evidence	1.0	3	0	2003.0	2014.0
Alzheimer's Disease	C0002395	DRD4	1815	P21917	dopamine receptor D4	receptor	134	0.536	0.414	7.1237e-09	0.03	no reported evidence	1.0	3	0	1998.0	2016.0
Alzheimer's Disease	C0002395	ELAVL2	1993	Q12926	ELAV like RNA binding protein 2		59	0.6	0.621	0.99245	0.03	no reported evidence	1.0	3	0	2008.0	2016.0
Alzheimer's Disease	C0002395	ELK3	2004	P41970	ELK3, ETS transcription factor	nucleic acid binding; signaling molecule; transcription factor	63	0.592	0.655	0.093717	0.03	no reported evidence	0.666666666666667	3	0	1996.0	2012.0
Alzheimer's Disease	C0002395	ERBB4	2066	Q15303	erb-b2 receptor tyrosine kinase 4		185	0.494	0.69	0.99892	0.03	no reported evidence	1.0	3	0	2003.0	2018.0
Alzheimer's Disease	C0002395	F2R	2149	P25116	coagulation factor II thrombin receptor		201	0.478	0.759	0.0057701	0.03	no reported evidence	1.0	3	0	2007.0	2013.0
Alzheimer's Disease	C0002395	FDPS	2224	P14324	farnesyl diphosphate synthase	transferase	21	0.72	0.448	0.0034763	0.03	no reported evidence	1.0	3	0	2008.0	2014.0
Alzheimer's Disease	C0002395	FGF2	2247	P09038	fibroblast growth factor 2	signaling molecule	437	0.404	0.897	0.019149	0.03	no reported evidence	1.0	3	0	1994.0	2015.0
Alzheimer's Disease	C0002395	FKBP4	2288	Q02790	FK506 binding protein 4	calcium-binding protein; chaperone; isomerase	70	0.59	0.621	0.34942	0.03	no reported evidence	1.0	3	0	2008.0	2013.0
Alzheimer's Disease	C0002395	FPR2	2358	P25090	formyl peptide receptor 2	receptor	56	0.607	0.655	0.40513	0.03	no reported evidence	1.0	3	0	2001.0	2007.0
Alzheimer's Disease	C0002395	GLUL	2752	P15104	glutamate-ammonia ligase	ligase	123	0.557	0.586	0.99566	0.03	no reported evidence	1.0	3	0	2002.0	2014.0
Alzheimer's Disease	C0002395	GRIN2A	2903	Q12879	glutamate ionotropic receptor NMDA type subunit 2A		100	0.577	0.414	0.99998	0.03	no reported evidence	1.0	3	0	2002.0	2016.0
Alzheimer's Disease	C0002395	GSTM1	2944	P09488	glutathione S-transferase mu 1		423	0.403	0.828	0.0020317	0.03	no reported evidence	0.6666667	3	0	1995.0	2016.0
