"gene","patient1","patient2","patient3","patient4","patient5"
"STAT6",0.777333333333333,1.27233333333333,0.431,1.124,0.184
"JARID1C",0.14275,-0.5135,-0.04225,-0.449625,0.42175
"STOML2",-0.33,-0.4725,-0.7645,-0.673833333333333,-0.425666666666667
"STOML1",0.085875,-0.224625,0.305625,-0.50225,-0.12925
"AIM1L",-0.8106875,-0.59325,-1.286625,-0.8893125,-0.376875
"FBLIM1",-0.970333333333333,1.186,-1.42708333333333,0.336583333333333,1.58425
"TIMM8A",-1.10166666666667,-1.70366666666667,-1.29316666666667,-1.35266666666667,-0.277833333333333
"FAM10A5",-1.45375,0.45975,-0.45425,0.84575,0.27
"TIMM8B",0.157,-1.0795,-0.529,-0.20875,1.11525
"DAXX",-0.315,0.85675,0.1215,0.03825,0.02175
"NT5M",0.72775,-0.3725,-0.699,-0.9425,-1.6185
"KIAA1486",-0.3185,-0.663,-0.2975,-0.1335,-0.1465
"AHNAK",0.4775,0.8472,0.67705,-0.2146,-0.2221
"NT5E",-4.2087,-2.7759,-4.3443,-2.214,-2.553
"XPA",1.426,1.25225,1.1815,1.0785,0.192
"ZNF431",0.1005,0.003375,-0.433,-0.1115,-1.005
"UNC50",0.26625,-0.128,0.191,0.232,-0.24275
"LOC400120",0.10275,-0.00575,-0.41625,0.1865,1.022
"MAP1A",-0.93425,-0.29575,0.20775,-0.4385,-0.16675
"MAP1B",-2.60535714285714,-0.739,-2.34292857142857,0.561928571428571,-0.890714285714286
"PDCL2",-0.9135,-0.843,-0.55625,-1.011,-1.367
"PDCL3",-0.023,0.113166666666667,-0.123,0.583333333333333,0.0883333333333333
"LBX2",-0.576,-1.8055,-0.165,-1.497,-0.727
"UNC5C",-0.129,1.03416666666667,4.28416666666667,1.6235,1.9345
"VGF",-1.96025,-1.8965,-2.02775,-2.0095,-0.40725
"UNC5A",0.691,0.928833333333333,0.0746666666666666,0.1695,0.569666666666667
"UNC5D",-2.7735,-2.4495,-2.8935,-1.407,-1.3395
"CCM2",-0.12375,0.09275,-0.5645,-0.521,0.11175
"TESSP5",1.087,0.357,2.435,0.3375,0.115
"MAP1S",0.0133333333333333,0.0163333333333333,0.1255,0.0928333333333333,0.287
"FRMD8",-0.481,1.03325,0.5935,1.16,0.204
"TESSP2",-0.199,-0.056,0.261,0.111,-0.3175
"IMMP1L",1.6355,-0.207,0.64175,-0.201,0.05675
"FRMD5",-4.352,-2.2395,-2.8345,-1.712,-1.4915
"FRMD6",-0.658333333333333,0.837166666666667,2.239,1.47783333333333,0.315833333333333
"FRMD7",-0.2945,0.641,0.5365,1.168,4.0005
"PKNOX1",0.1574,0.4053,0.3782,0.3284,0.2688
"PKNOX2",-0.299666666666667,-2.13516666666667,-3.79266666666667,-1.79283333333333,-2.25083333333333
"FRMD3",-1.528,-0.086,-1.904,0.6035,-1.767
"SNRPF",-0.034125,-1.174,-0.8155,-1.29075,-1.053375
"DSCR9",-0.0195,-2.217,-0.938,-1.1795,-0.8505
"CYorf15B",-3.97557142857143,-3.6805,-4.49771428571429,-2.967125,-4.683
"CYorf15A",-4.7235,-4.7345,-5.48625,-4.0345,-4.74175
"GNAS",0.942722222222222,0.0213333333333333,-2.17938888888889,0.402055555555556,-0.423411764705882
"MED13L",1.6005,0.7148,1.9871,-0.3122,0.00799999999999998
"DSCR4",-2.122875,-1.859625,-2.561375,-1.512875,-1.847875
"DSCR6",3.679,-0.098,0.398,-0.9415,0.0605
"PTCD2",-0.6037,0.1763,0.1719,-0.3396,-1.4268
"PTCD3",-0.172375,-0.794375,-1.262875,-0.677875,-0.358375
"DSCR3",-0.8098,-0.2422,-0.1433,-0.2729,0.2847
"PTCD1",-0.60025,-0.4165,0.17625,-0.546,0.35375
"PDE7A",-0.6669,-1.0759,-0.8987,-0.9622,-0.933
"GNAL",-1.885,-0.2535,-1.842,0.46075,-1.14525
"HLTF",0.254714285714286,-0.140357142857143,0.176,-0.475357142857143,-0.779214285714286
"HIG2",-0.62975,-0.3555,1.54875,-0.998,2.43975
"CYP26C1",-0.2615,0.0735,0.1195,0.0245,0.694
"DPF2",0.553,0.6285,0.46375,0.998,-0.5065
"DPF3",-0.235333333333333,-0.171666666666667,-0.119333333333333,0.062,-0.509666666666667
"DPF1",-1.82366666666667,-1.91666666666667,-2.16216666666667,-1.79766666666667,-1.52783333333333
"ASNA1",0.79425,-0.1455,0.30025,-0.5615,-0.30325
"CRYGS",0.0137,-0.8991,0.4267,-0.5439,-1.1438
"RPL18A",-0.5073,-0.0603,-0.9873,-0.0628,0.0904999999999999
"SIX1",-3.224,2.53525,3.4585,-1.39275,-2.4175
"KRT3",0.698,0.6885,0.2315,-0.4175,0.784
"KRT2",-0.18175,0.23725,-0.0615,-0.121,1.371
"UNQ1945",0.7275,0.4035,0.264,0.05,0.3125
"OR2F1",0.68975,0.33025,0.29,0.20925,0.67325
"FST",-4.45925,-3.378,-5.39375,-3.104,-4.0935
"KRT5",-2.8705,0.9602,-3.427,2.1796,-0.4399
"KRT4",0.19425,0.27675,0.363625,1.7755,3.797
"CRYGA",0.1535,0.1125,0.1965,-0.1395,-0.1355
"CRYGB",-0.6555,-0.6735,-0.7135,-0.3785,-0.642
"CRYGC",-0.4795,-0.46,-1.2325,-0.55,-1.185
"CRYGD",0.136333333333333,0.209333333333333,0.137333333333333,-0.105833333333333,0.280333333333333
"DACT3",0.254166666666667,2.0325,-1.36466666666667,0.969,0.974333333333333
"DACT2",-4.3175,0.3495,-3.2805,1.901,-1.2885
"FAM62B",-0.517625,-0.1895,-0.4475,-0.1435,-0.303
"FAM62C",-1.108,-0.9395,-0.924,-0.4375,-0.04
"FAM62A",-0.3815,0.854375,-0.31025,-0.223625,0.35375
"VPS41",0.196125,0.705,0.925625,0.131375,-0.10425
"FLJ10241",0.18575,0.1845,0.2695,0.0855,-0.778875
"BCAP29",0.2407,0.0673,-0.0214,-0.2327,-0.0282
"SLC15A4",-0.337,0.113125,-0.486625,0.435375,0.346125
"TMCC1",0.143583333333333,0.52625,0.053,0.17125,0.138166666666667
"TMCC2",-2.35316666666667,-1.2455,-1.27033333333333,-0.969166666666667,-1.469
"TMCC3",1.01633333333333,2.52566666666667,0.0391666666666667,1.7435,2.85383333333333
"NMNAT2",-1.74666666666667,-1.04366666666667,-1.90983333333333,0.693833333333333,-0.259
"NMNAT3",2.735,1.97925,1.424125,1.609875,0.539125
"NMNAT1",-0.504166666666667,-0.547166666666667,-0.337166666666667,-0.937,-0.549833333333333
"ALOX12B",-0.46425,-0.219,1.565,0.07675,-0.227
"RPS19",-0.413375,0.20225,-0.91975,0.272375,0.0475000000000001
"TAS2R38",0.087,-0.1985,0.097,-0.0295,-0.447
"TAS2R39",0.6035,0.30175,0.37375,0.314,0.6005
"EPB41L1",1.305,0.6326,1.05,0.5307,1.2698
"PPCDC",-0.457125,-0.926875,0.026125,-0.77375,-1.088625
"EPB41L3",-1.66575,2.012,0.88275,0.1835,2.189
"RPS18",0.127071428571429,0.7745,-0.253785714285714,0.582857142857143,0.857
"EPB41L5",1.7425,0.4455,1.918,0.67725,0.295
"ABCA11",-0.926,0.2905,-0.661,0.5635,-0.8025
"RUNDC3B",0.07425,2.92325,0.304,3.365,1.38525
"ACSS1",0.437875,1.175,2.674875,0.621,-1.484
"KIDINS220",0.431583333333333,-0.2185,0.55575,0.2865,-0.466083333333333
"TMEM156",0.190166666666667,-0.766166666666667,-1.78433333333333,-0.365666666666667,0.1895
"CCDC24",2.0011,1.5942,2.7748,1.037,0.5359
"PLEKHM1",0.0933333333333333,-0.0553333333333333,1.136,0.582,-0.120833333333333
"PLEKHM2",-0.72125,-0.51,-0.6745,-0.5985,-0.2425
"FLJ43860",-0.28,0.575,0.553,0.249,0.087
"VPS4A",-0.596833333333333,-0.868166666666667,-0.356,-0.515166666666667,0.118833333333333
"VPS4B",0.17925,1.152,0.85225,1.27275,0.74575
"BTBD14B",0.841142857142857,0.447357142857143,0.696642857142857,-0.281,0.506214285714286
"BTBD14A",-1.308,-2.06625,-1.61275,-1.5535,0.1025
"SLC43A3",-1.57992857142857,-1.17642857142857,-2.701,-0.940285714285714,-0.609571428571429
"SLC43A2",1.083875,0.290375,0.1135,0.796625,2.04375
"SLC43A1",-2.459,0.61075,-1.1305,-0.69625,-1.55225
"FRMD4A",0.525625,0.384125,0.024125,0.11625,0.3645
"DFNA5",-1.678,-0.698,-3.57725,-0.945,-1.41875
"MAGEH1",1.45675,1.94725,1.3395,1.6025,0.79925
"WNT3",1.21383333333333,-1.77483333333333,0.858166666666667,-0.497166666666667,-1.49666666666667
"WNT2",3.727125,2.043875,0.098875,3.654625,6.596875
"WNT1",0.06,0.3183,0.0316,0.292,0.053
"AGXT",-2.09616666666667,-1.99266666666667,-2.26733333333333,-1.88283333333333,-2.152
"WNT6",-0.525571428571429,0.00821428571428573,-0.982642857142857,0.6045,2.0175
"LRRN1",2.74575,2.55675,-3.4965,1.898,1.4725
"WNT4",4.571125,2.929375,2.947625,3.78625,1.568
"PPP1R15A",-1.38983333333333,-0.0595,-0.875666666666667,0.248833333333333,-0.297333333333333
"TREML1",0.8623,0.1278,0.4014,-0.0286,0.4384
"BLMH",-0.906625,-0.47675,0.70775,-0.900125,-1.196875
"TREML4",0.989,0.649,0.038,0.374,-0.079
"ODZ3",-1.69892,-1.09844,-2.9194,-0.86624,-1.85564
"PALB2",-0.3645,-0.73775,-0.4935,-0.875,-0.5755
"PDCL",-0.452,0.187666666666667,-0.368166666666667,0.160833333333333,-0.124
"DKFZp434K191",-1.576875,-0.4355,-0.444625,-0.8695,-0.726125
"RECK",-1.0764,-0.4201,-2.6015,0.0463,-0.0716666666666666
"TYRP1",-3.82666666666667,-4.348,-4.585,-3.95916666666667,-3.88983333333333
"GPRIN2",3.62533333333333,2.24016666666667,-0.8845,2.05116666666667,0.212833333333333
"GPRIN3",0.7,0.215,0.075,0.372,0.6425
"GPRIN1",0.16075,-1.13775,-1.5245,-0.92475,-0.28775
"ROGDI",1.931,0.77425,1.773,0.58625,1.029
"MRPL34",0.234333333333333,-0.264,0.146166666666667,-0.254,-0.439
"INSR",1.6316875,1.7135625,2.7144375,1.53925,1.952375
"LOC441054",-2.328,-0.802,-0.9025,-0.901,-2.391
"RUNX1T1",1.31925,3.8515,-0.85075,4.4405,1.65875
"HIST2H2BE",0.5286875,-0.69925,0.6763125,-0.2039375,-0.3515625
"APOB48R",2.39733333333333,1.96833333333333,1.827,1.51566666666667,2.31433333333333
"ZNF813",0.219625,0.79875,0.708625,0.49,0.338625
"SPTBN5",3.41233333333333,1.89816666666667,2.62066666666667,1.82766666666667,1.16283333333333
"ZNF619",0.9145,0.8415,0.215,0.493,0.3655
"DIP",-0.216,0.59525,0.28325,0.392,0.7475
"SPTBN2",1.073,-0.0075,-2.616,-0.10325,1.39125
"SPTBN1",-0.6159,0.4936,-0.2397,0.4526,-0.0925
"KLF13",0.079,0.0581,0.3695,-0.1097,0.1377
"RNF175",-0.542625,0.787375,-1.84425,0.899875,-0.517375
"KLF11",-0.27375,0.65925,-0.203875,0.522125,0.79025
"LEPRE1",-1.54875,-0.76475,-1.654,-0.785,-0.3085
"KLF17",-1.573,-1.05925,-1.48266666666667,-0.322,-1.78925
"KLF16",0.9651,0.2458,0.3718,-0.2068,0.6575
"KLF15",-0.6889,-0.1715,-0.7943,0.2624,-1.1104
"KLF14",-0.0785,0.14075,-0.072,0.1185,0.0345
"TFAP2A",1.49275,0.8635,2.325,1.0103125,0.97
"IQWD1",0.934,0.931666666666667,0.840166666666667,0.6695,1.01183333333333
"TFAP2C",0.4219,0.8565,-0.105,2.9732,0.5546
"TFAP2B",4.31775,4.917375,4.3205,4.37025,4.249375
"TFAP2E",-0.227,-0.219,0.943,0.14,-0.055
"TFAP2D",0.211,-0.049,0.399,-0.3615,1.3605
"KRTDAP",-2.07733333333333,0.0918333333333333,-0.139333333333333,-0.280166666666667,-2.57283333333333
"MCCD1",0.5245,0.0335,1.472,0.52225,0.5575
"GBE1",-2.34188888888889,-1.91966666666667,-2.30622222222222,-1.47666666666667,-1.41333333333333
"OR51T1",0.203,-0.126,0.8615,0.3925,0.1705
"PCNA",-0.480375,-2.058125,-1.153875,-1.433375,-1.160625
"SLC44A1",0.854875,1.891125,0.682625,0.8065,0.54225
"SLC44A2",1.227375,1.826625,2.042125,1.701875,1.176625
"SLC44A3",2.04816666666667,3.038,0.740333333333333,2.67283333333333,2.56916666666667
"SLC44A4",3.8496,4.3246,3.4646,2.7963,1.8456
"SLC44A5",2.4065,2.2475,-0.902,0.2125,0.0955
"ZBTB7C",0.1505,0.4885,0.368,-0.2455,0.686
"ZBTB7B",1.12425,1.810125,0.85475,0.773375,1.328375
"POLR2H",0.35925,-0.8,-0.965,-0.85375,-0.64375
"MSI2",0.175833333333333,-0.504,0.649833333333333,-0.501,-0.199666666666667
"MSI1",-1.238,-0.8515,-0.632,-0.505,0.4745
"PCNP",-0.02725,0.09525,-0.42775,-0.1205,-0.3515
"MRPL38",0.143375,-0.498,0.7915,-0.341,0.256625
"PCNX",-0.5035,-0.006,-0.10575,0.16825,0.22075
"UTX",0.94,0.83075,0.71625,1.25825,0.834
"UTY",-1.42608333333333,-1.04578571428571,-1.17685714285714,-1.11014285714286,-1.72146153846154
"FEZF1",-0.735,0.855,-0.0585,0.487,1.5975
"SNF1LK2",-0.59325,-0.167,-1.18625,0.35475,0.76575
"SAMHD1",0.93,1.14825,0.16975,0.4715,1.1275
"CRABP2",2.0483,2.0488,1.7617,1.0078,-0.552
"FAM69B",0.192,-0.65075,-2.9385,-0.87375,-1.19775
"RPA4",-2.289,-1.31433333333333,-0.738,0.252833333333333,-0.342
"RPA1",-0.1455,-0.97275,-1.05725,0.086,-0.41925
"RPA3",0.138,-1.431,-0.432,-1.609,-1.00725
"RPA2",-0.33075,0.13075,0.23875,-0.0305,-0.82575
"TENC1",1.6205,1.6285,1.27275,0.59375,0.27475
"NDUFS1",-0.06675,-0.9405,-0.3365,-0.71725,0.00899999999999999
"CXorf40B",0.7625,0.5555,2.306,0.433,-0.171
"SHOX2",-2.3925,-0.941333333333333,-2.81033333333333,-0.5065,-0.477666666666667
"COQ9",-0.45875,-0.432,-0.39725,-0.44775,0.324
"NDUFS5",-0.152,-0.14025,-0.23525,0.057,-0.35225
"NDUFS6",0.17725,-0.52125,0.1975,-0.90125,0.07125
"NDUFS7",0.727666666666667,-0.193166666666667,0.476166666666667,-0.400333333333333,-0.1525
"COQ5",-0.0416666666666667,0.234666666666667,0.9765,0.0195,-0.3235
"COQ4",0.574833333333333,0.4815,1.05033333333333,0.436666666666667,0.627666666666667
"MGC4172",0.106,-1.5165,-0.12825,-0.61425,0.61925
"COQ6",1.32066666666667,-0.259166666666667,1.45333333333333,-0.114333333333333,0.575
"UFD1L",-0.6835,-0.48,-0.3505,-0.577,0.159
"COQ3",-0.26775,-0.6095,-0.89275,-0.486,-0.91325
"ILF2",-0.46675,-0.43875,-0.53025,-0.32675,0.19525
"HBM",-0.0905,0.126,3.662,-0.0685,0.60275
"NEK7",-0.4235,1.2565,0.822,0.7035,2.0045
"ZRANB1",0.2465,0.002,-0.22,0.1225,-0.112
"KLK6",-2.93783333333333,-0.7945,-3.16816666666667,2.83133333333333,-1.12516666666667
"ZRANB3",-0.955333333333333,-0.417333333333333,-0.921,-0.481833333333333,-0.736166666666667
"ZRANB2",-1.17783333333333,-0.673,-0.663833333333333,-0.844,-1.03433333333333
"WARS2",1.72725,0.27775,-0.40175,-0.04325,-0.346
"C9orf6",0.274833333333333,1.17816666666667,-0.592833333333333,0.6885,-0.295833333333333
"FAM132A",-0.34175,-0.6345,-1.44025,-0.346,-0.486
"HBB",3.3352,4.0637,4.9009,3.5418,3.6097
"PCDHGB3",-0.123,0.098,0.36,0.3005,-1.0335
"PCDHGB2",0.7705,-0.62,0.062,0.0695,-0.3575
"MUC20",1.07883333333333,-0.242833333333333,0.4015,1.31833333333333,-1.21483333333333
"UNC84A",-0.00316666666666663,-0.933833333333333,-0.2,-0.133333333333333,-0.0225
"PCDHGB7",-0.0715,-0.563,0.13,0.6075,0.044
"ERAS",-0.218,-0.021,-0.0945,0.001,0.418
"ATP9A",-0.00828571428571427,-0.0253571428571429,0.890428571428572,-0.156285714285714,0.531428571428571
"HBZ",-2.91316666666667,-3.02233333333333,-3.2495,-3.23666666666667,-3.45266666666667
"CSNK1G2",-0.0601666666666667,-0.505916666666667,-0.558333333333333,-0.397083333333333,0.0241666666666667
"BOC",0.683166666666667,3.39966666666667,-1.02183333333333,3.39833333333333,2.80583333333333
"LOC126147",-0.0251666666666667,-0.213166666666667,0.300166666666667,0.3065,-1.03516666666667
"RREB1",-0.034,0.26825,-0.1225,-0.06475,0.53625
"DENND2C",-0.37325,0.16225,-0.7405,0.293,0.288
"TPX2",-2.00675,-1.7285,-2.512125,-3.586,-1.090125
"DENND2A",-2.0015,-1.1407,-2.8236,0.4234,-1.5213
"DENND2D",2.04225,2.47475,2.9065,2.0925,1.78075
"WWC3",0.9115,1.12275,-1.01675,1.164,1.05675
"WWC2",-1.35841666666667,0.185333333333333,-0.68725,0.366181818181818,0.352181818181818
"PPT2",-1.7715,-1.26933333333333,-0.7325,-1.27166666666667,-1.47433333333333
"INPP4B",0.49175,0.800625,1.166,1.204875,-2.5865
"WHSC1L1",0.1122,0.5619,0.8462,0.5052,0.4101
"GPR101",0.3925,-0.4165,-0.3125,-0.485,1.817
"LY6H",0.7325,1.125,0.781,-0.23275,1.10025
"MICAL3",-1.787125,-0.120125,-0.83525,0.00112500000000002,0.6585
"PHC1",-2.66025,-1.71575,-1.4365,-1.43875,-2.77575
"PHC3",0.7234,0.4723,0.3879,0.3515,0.1116
"PHC2",-0.281833333333333,0.463166666666667,0.10775,0.078,-0.126833333333333
"GPR108",0.803166666666667,0.656666666666667,0.887166666666667,0.830333333333333,0.316833333333333
"MFAP3L",-0.3537,0.4408,-0.4353,1.6738,1.9532
"THOC4",-1.237125,-0.575125,-0.557,-0.4575,-0.929875
"LMAN1",-1.592125,-1.093375,-0.681875,-0.657375,-0.20025
"GPR15",0.218,0.221,0.0695,0.28,0.44
"PHCA",2.271625,-0.0648125,-1.4135,-0.69375,0.996
"ZNF419",0.754,0.4465,1.025625,0.110375,0.0035
"PHEX",0.823,0.7295,-1.0115,0.6285,-0.9575
"IGSF1",-3.3975,-3.43925,-3.852,-0.434,-3.566
"SAFB",-0.6035,-0.1705,-0.4347,-0.5307,-0.5885
"ZNF364",0.73975,0.25575,-0.03775,-0.142,0.2635
"ZNF367",-0.7135,-1.67875,-1.1465,-1.06225,-1.78625
"ZNF366",1.87375,3.7195,2.81175,2.57275,3.03325
"SYPL2",0.0805,0.1275,-0.122,0.228,0.3725
"TMCO1",0.97125,0.748166666666667,0.957416666666667,0.599833333333333,0.758666666666667
"PRF1",-0.08625,1.91125,0.69675,0.99275,1.5635
"GPSN2",0.299,-0.872,0.2165,-0.1075,-0.558
"HRBL",0.4306,0.0097,0.3502,0.0865,0.1867
"ZNF415",1.96975,2.19325,1.08225,1.477,0.5075
"FLJ21865",0.2145,-0.74875,0.37825,-0.62425,-0.36725
"H2AFV",-0.288375,0.0877500000000001,-0.3785,-0.509875,-0.521
"KCTD21",1.97875,1.08875,1.071,0.39325,0.325
"FTSJ3",-0.713,-1.64383333333333,-0.169833333333333,-0.117666666666667,0.258833333333333
"TCP10",-0.59175,-0.0975,-0.284125,0.02675,-0.036125
"ALS2CR11",-1.5275,-1.49125,-2.43525,-0.72175,-1.6545
"H2AFX",-1.082875,-1.69725,-1.71625,-1.586,-0.652625
"LHFP",0.244375,1.967875,-0.632571428571429,2.144625,1.895
"H2AFZ",-0.420583333333333,-1.08966666666667,-0.692416666666667,-1.03825,-0.758583333333333
"MTERFD3",0.52825,1.297,1.05125,1.195,-0.379
"LOC203547",-0.572,-0.82975,-1.235375,-1.066,0.02975
"NSUN5C",-0.57975,-0.938,-0.5255,-1.30875,-0.87175
"RNF8",-0.744,-0.537833333333333,-0.240833333333333,-0.523666666666667,-0.6362
"RNF6",-0.199333333333333,0.151666666666667,-0.0198333333333333,0.491,0.267666666666667
"RNF7",0.10925,0.5915,0.64825,0.39875,-0.43325
"RNF4",-0.1061,0.0592,0.3442,-0.009,-0.3434
"ZNF410",0.42925,0.87125,0.85525,0.2915,0.116
"RNF2",0.84575,0.911875,0.6505,0.36675,-0.95025
"AVPR2",0.232,1.1565,0.251666666666667,1.017,0.0976666666666667
"H2AFJ",1.90875,0.152333333333333,2.42933333333333,0.39275,0.0850833333333333
"PRSS1",-3.749,-3.974,-2.353,-3.42875,-4.29725
"WDR1",-0.195875,0.55325,0.467375,0.305625,0.296875
"GSTA4",2.83966666666667,0.6715,2.45733333333333,2.28616666666667,0.327833333333333
"PSMA4",0.236142857142857,-1.09621428571429,-1.04142857142857,-0.619714285714286,-0.347357142857143
"NRXN2",-0.055,1.00333333333333,-0.524166666666667,1.21816666666667,0.4345
"CSN1S2A",0.3515,0.19,-0.5145,0.07,-0.435
"CLTA",0.1335,0.2015,0.48725,0.06175,0.03525
"NRXN1",-0.916833333333333,0.592166666666667,-0.969727272727273,1.007,-1.21336363636364
"CLTC",0.0788333333333333,-0.814666666666667,0.766833333333333,0.453333333333333,0.380833333333333
"CLTB",1.04183333333333,0.809,1.21691666666667,0.331833333333333,0.177916666666667
"TMEM59L",-2.13883333333333,-1.713,-2.8255,-0.132333333333333,-1.09716666666667
"LRRC62",-1.48725,-1.28275,-1.62175,-1.1495,-1.492
"LRRC61",0.3245,-0.5165,0.82,-0.413333333333333,0.392333333333333
"OR5BF1",0.611,0.3625,0.3445,0.1015,0.342
"NGLY1",-0.083,-0.6385,-0.75525,-0.3865,0.66925
"DPEP1",-0.607666666666667,1.0405,-1.65816666666667,-1.36166666666667,0.478
"DPEP2",2.07725,1.842,1.246,0.71225,2.029
"DPEP3",1.1415,0.48225,0.9745,0.70075,-0.0832500000000002
"UNQ6411",0.0665,0.3855,0.2105,0.064,0.0305
"C7orf34",0.0493333333333333,0.4715,0.0738333333333334,0.369666666666667,0.121
"C7orf33",1.029,0.2325,0.0155,0.775,-0.5095
"C7orf31",-1.213,-0.289,-0.339833333333333,0.343833333333333,-1.0802
"C7orf30",-0.5615,-0.68125,-0.63425,-0.81075,-0.66625
"HARS",-0.12425,-0.121333333333333,0.131416666666667,-0.160333333333333,-0.382083333333333
"TMCO4",0.847333333333333,1.20216666666667,2.61116666666667,1.33833333333333,0.922333333333333
"C7orf38",0.2035,0.471,1.09833333333333,0.207333333333333,-0.477333333333333
"BTN1A1",0.07325,0.38775,-0.4955,1.23425,0.878333333333333
"HSD17B14",1.60983333333333,1.62983333333333,3.694,1.06466666666667,1.4295
"PCOLCE",-1.5585,-0.611833333333333,-3.376,-0.958666666666667,-0.585833333333333
"ZNF556",0.733666666666667,-3.428,-4.15666666666667,-2.4935,-4.31716666666667
"MGC88374",0.07025,2.352,1.76725,0.2055,0.589
"TRAV20",0.4065,-0.018,0.3465,-0.1085,-0.273
"EPM2A",-0.7835,0.4808,-0.2711,0.3063,-0.5954
"ISCA1",-0.2525,0.944,0.7105,0.838,0.1875
"HSD3B2",0.7195,0.225,-0.1225,0.317,0.287
"ISCA2",0.61325,-0.18,0.72925,0.03775,-0.02925
"FAM118A",-0.121333333333333,-0.962166666666667,-1.29116666666667,-1.08383333333333,0.371833333333333
"FLJ25801",-4.37625,-4.0955,-4.72125,-3.9455,-4.6415
"FAM118B",-1.0275,-0.664166666666667,-0.9555,-0.56,0.209666666666667
"LMX1A",0.4495,0.4575,0.42825,0.21675,0.14575
"LMX1B",1.72466666666667,1.20883333333333,1.48566666666667,0.461166666666667,0.824833333333333
"OR6V1",0.247,0.556,0.478,0.041,0.9825
"RECQL",-1.17275,-1.44275,-1.0725,-0.71075,-1.08125
"PRSS2",-3.4175,-3.6115,-3.31,-3.175,-4.132
"BRI3",-0.36125,-0.28075,-0.11525,-0.6175,0.11575
"MAP7D3",-1.82,-1.04475,-1.78275,-0.77675,-1.935
"IL23R",-1.975,-2.096,-2.44075,-1.079,-2.4765
"KIAA1432",0.7185,0.206,-0.632,-0.135,0.857
"POU4F3",-0.2995,-0.2915,-0.2335,-0.428,-0.177
"ASB3",-0.173333333333333,0.467666666666667,-0.0833333333333333,-0.141666666666667,-0.813
"PRKRIR",-0.992,-0.653833333333333,-1.29983333333333,-0.176,-0.225666666666667
"ACTR8",0.11875,0.075875,0.379125,0.14925,0.012
"BAIAP3",0.32725,0.685,2.92175,-0.66375,-0.401
"ACTR6",0.634,-0.0395,0.9405,0.38275,0.22525
"ACTR5",-0.8885,-0.38925,0.215,-0.56175,0.096
"XPNPEP3",-0.383666666666667,-0.199333333333333,-0.402833333333333,-0.383666666666667,0.257166666666667
"ACTR3",-1.1815,0.149,-1.3085,0.563875,0.810875
"ACTR2",0.196,0.008,-0.3435,0.0565,0.1497
"NUP88",-0.559125,-2.049375,-0.66725,-0.508875,-0.354625
"15E1.2",-1.20575,-2.37825,-1.097,-1.78425,-0.82775
"RHBG",-3.321,-3.45425,-3.67275,-2.8675,-3.837
"VAX2",1.6165,0.141,-1.2125,-0.306,2.842
"WBSCR22",-0.07625,-0.28125,-0.757,-0.568,-0.8565
"RECQL4",-1.21725,-2.04125,-1.27775,-2.488,-1.00575
"ARMET",-0.72625,-1.00525,-0.64675,-0.115,0.45975
"MAGEC3",-0.9245,-0.35,-1.065,0.223,-0.1315
"MCOLN2",1.275,0.746833333333333,-0.1255,-0.604833333333333,1.20033333333333
"WBSCR28",0.51675,0.962,0.7905,-1.2575,-0.00299999999999997
"CRIPAK",-0.224,0.25775,1.1105,-0.21275,-0.9485
"GNRHR",0.38475,0.2595,0.36075,-0.418666666666667,-0.528666666666667
"KIAA0746",-2.09825,-0.5365,-0.63,0.105,-0.00125000000000001
"KIAA0748",-1.533,-0.8805,-2.126,-0.8885,-1.1475
"PDE3B",-2.55525,-1.815,-1.4615,-1.14875,-1.284
"HYDIN",1.1528,0.4708,1.2784,0.6018,-0.0479
"CNR1",-0.712,0.6525,-0.976666666666667,0.647,0.0643333333333333
"GBX2",-1.73325,-1.8995,-2.2125,-1.73425,-1.7485
"GBX1",-1.6345,-0.538,-2.762,-1.3115,-1.8525
"FLJ33360",0.1925,0.39625,1.25675,0.28375,0.15525
"FOXP4",0.337125,0.552375,0.937,0.601125,0.9065
"MAGEC2",-6.46425,-6.6845,-8.28475,-6.0435,-5.64325
"POLDIP2",0.287666666666667,-0.315,0.843166666666667,-0.00783333333333334,1.06533333333333
"FLJ39378",-0.532625,-0.00149999999999998,0.17925,-0.0765,-0.266125
"GP1BA",0.2497,-0.1685,0.1602,0.225,0.5433
"GP1BB",2.095,0.31475,0.814,-0.7765,0.66875
"tcag7.1017",-0.094,-0.31725,-0.23575,-0.953,-0.86925
"CBARA1",1.3275,0.553,-0.09225,0.05075,-0.01775
"tcag7.1015",-0.79225,-1.245,-0.61825,-1.21575,-0.57175
"RAPGEFL1",-0.967,-1.062,0.02375,-0.2105,-1.55725
"GTDC1",0.2039,0.7613,0.4657,0.5736,0.8873
"NP",-0.68325,-0.897125,1.282,-0.705,0.4335
"ALDH18A1",0.901625,1.251875,-0.993125,-0.37,0.45275
"ICOS",0.733666666666667,1.007,-0.3135,0.413166666666667,2.5405
"HHEX",0.198,-2.2,-2.1605,-2.2005,-2.3875
"BIRC8",-0.01925,0.2565,0.00499999999999999,0.1635,0.45325
"EXOC6B",-0.529,1.0965,-1.1315,-0.037,NA
"C20orf132",0.1598,-0.4644,-0.0787,-0.0341,-1.3215
"PTPRU",-2.59,-0.316,0.83,-0.9065,0.684
"TBR1",0.167333333333333,-0.0998333333333334,0.803833333333333,-0.138166666666667,0.21125
